"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,Very low,25.1,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,Low,21.3,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,Moderate,32.4,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,High,12.4,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,Very high,8.8,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Percentage of hospitalizations,High/very high,21.2,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,10,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Total hospitalization rate,Total,44.2,,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Very low,"126,824",,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Low,"212,115",,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Moderate,"299,622",,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,High,"181,235",,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Very high,"102,493",,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,High/very high,"283,728",,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Number of hospitalizations,Total,"922,289",,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,Very low,13.8,,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,Low,23,,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,32.5,,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,High,19.7,,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,Very high,11.1,,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,30.8,,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,8.8,,
National,n/a,0000,n/a,Rural/remote,Specialized,All service provider groups,Total hospitalization rate,Total,30.5,,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Number of hospitalizations,Very low,"13,608",,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Number of hospitalizations,Low,"38,963",,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,"108,630",,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Number of hospitalizations,High,"101,466",,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Number of hospitalizations,Very high,"68,133",,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,"169,599",,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Number of hospitalizations,Total,"330,800",,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,4.1,,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,11.8,,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,32.8,,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Percentage of hospitalizations,High,30.7,,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,20.6,,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,51.3,,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,4.6,,
National,n/a,0000,n/a,Rural/remote,Highly specialized,All service provider groups,Total hospitalization rate,Total,9.1,,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Number of hospitalizations,Very low,"8,208,243",,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Number of hospitalizations,Low,"1,378,237",,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Number of hospitalizations,Moderate,"859,674",,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Number of hospitalizations,High,"283,571",,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Number of hospitalizations,Very high,"191,861",,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Number of hospitalizations,High/very high,"475,432",,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Number of hospitalizations,Total,"10,921,586",,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Percentage of hospitalizations,Very low,75.2,,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Percentage of hospitalizations,Low,12.6,,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Percentage of hospitalizations,Moderate,7.9,,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Percentage of hospitalizations,High,2.6,,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Percentage of hospitalizations,Very high,1.8,,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Percentage of hospitalizations,High/very high,4.4,,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,2.8,,
National,n/a,0000,n/a,Urban,All levels,All service provider groups,Total hospitalization rate,Total,64.4,,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Number of hospitalizations,Very low,"3,278,298",,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Number of hospitalizations,Low,"493,564",,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Number of hospitalizations,Moderate,"272,327",,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Number of hospitalizations,High,"62,319",,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Number of hospitalizations,Very high,"50,947",,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Number of hospitalizations,High/very high,"113,266",,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Number of hospitalizations,Total,"4,157,455",,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Percentage of hospitalizations,Very low,78.9,,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Percentage of hospitalizations,Low,11.9,,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Percentage of hospitalizations,Moderate,6.6,,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Percentage of hospitalizations,High,1.5,,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Percentage of hospitalizations,Very high,1.2,,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Percentage of hospitalizations,High/very high,2.7,,
National,n/a,0000,n/a,Urban,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,0.7,,
National,n/a,0000,n/a,Urban,All levels,Family medicine,Total hospitalization rate,Total,24,,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Number of hospitalizations,Very low,"70,398",,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Number of hospitalizations,Low,"17,801",,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Number of hospitalizations,Moderate,"13,574",,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Number of hospitalizations,High,"3,509",,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Number of hospitalizations,Very high,"1,911",,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Number of hospitalizations,High/very high,"5,420",,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Number of hospitalizations,Total,"107,193",,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Percentage of hospitalizations,Very low,65.7,,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Percentage of hospitalizations,Low,16.6,,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Percentage of hospitalizations,Moderate,12.7,,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Percentage of hospitalizations,High,3.3,,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Percentage of hospitalizations,Very high,1.8,,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Percentage of hospitalizations,High/very high,5.1,,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,0,,
National,n/a,0000,n/a,Urban,All levels,General pediatrics,Total hospitalization rate,Total,0.7,,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,"591,067",,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,"117,341",,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,"92,334",,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,"39,008",,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,"31,442",,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,"70,450",,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"871,192",,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,67.8,,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,13.5,,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,10.6,,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,4.5,,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,3.6,,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,8.1,,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,0.4,,
National,n/a,0000,n/a,Urban,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,5.1,,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"1,553,422",,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Number of hospitalizations,Low,"181,272",,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,"56,295",,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Number of hospitalizations,High,"15,876",,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,"9,152",,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,"25,028",,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"1,816,017",,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,85.5,,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,10,,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,3.1,,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,0.9,,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,0.5,,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,1.4,,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,0.2,,
National,n/a,0000,n/a,Urban,All levels,Obstetric and gynecology,Total hospitalization rate,Total,11,,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Number of hospitalizations,Very low,"282,305",,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Number of hospitalizations,Low,"43,160",,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Number of hospitalizations,Moderate,"29,258",,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Number of hospitalizations,High,"8,471",,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Number of hospitalizations,Very high,"7,461",,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Number of hospitalizations,High/very high,"15,932",,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Number of hospitalizations,Total,"370,655",,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Percentage of hospitalizations,Very low,76.2,,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Percentage of hospitalizations,Low,11.6,,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Percentage of hospitalizations,Moderate,7.9,,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Percentage of hospitalizations,High,2.3,,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Percentage of hospitalizations,Very high,2,,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Percentage of hospitalizations,High/very high,4.3,,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,0.1,,
National,n/a,0000,n/a,Urban,All levels,Psychiatry,Total hospitalization rate,Total,2.4,,
